117,Soil fertility management
118,Pest management
119,seed treatment
120,transplantation
121,Nutrient management
122,Nuresery management
123,seed varities
124,harvesting
125,sowing methods
126,cultivation methods
127,post harvest techniques
128,orchad management
129,storage techniques
130,Multching
131,post harvest management
132,land preparation
133,bed preparation
134,seed selection
135,processing
136,life cycle
137,sarivi tea
138,non-negotiables
139,virus control
140,water sprinklers
141,Rain guns usage
142,water management
143,Boarder crops
144,yield estimation
145,crop cutting experiements
147,organic milk production
148,Staking method
149,goshala
150,soil testing
151,soil sampling
152,nadep pit filling
153,nadep pit construction
154,urine collection
155,seed bank
156,NPM Shop
157,Navadhanya poly crop model
158,summer ploughing
159,community bourne fires
160,Growth promoter
161,Grain weight improvement
162,white & yellow sticky plates
163,seedlings treatment
164,alleys formation
165,crop cards
166,Rhozobium
167,zbnf slogans
168,quotes on ZBNF
169,weeding
170,CRP
171,horticulture crops
172,Custom hiring centre
173,Dabholkar method
174,Boran deficiency
175,annapurna model
176,protiene suppliement
177,Increase immune system
178,preventive measure
179,panchapathra kashayam
180,Humus development
181,cow dung
182,insect identification
183,PICO projector
184,natural farming extension
185,soil health
186,NSKE
187,Flower drop control
188,fertigation
189,oils as pesticide
190,antimicrobial
191,polination
193,Green manure
194,organic fertilizers
196,dravajeevamrutham
197,neemasthram
198,Beejamrutham
199,poly crops
200,inter crops
201,36*36 model
202,drum seeder
203,Trenches
204,ghanajeevamrutham
205,panchagavya
206,aloevera and custurd apple decoction
207,fish amino acid
208,Brahmasthram
209,pheremone traps
210,bird perches
211,allay ways
212,conoweeder
213,interculture
214,flowering stage
215,Fshg
216,institution bulding
217,rythu mithra groups
218,vavilaku kashayam
219,maredu patra kashayam
220,sour butter milk
221,amruthajalam
222,tonic
223,Trichoderma viridi
224,sontipala kashayam
225,Thutikada kashayam
226,Nadep compost
227,temporary nadep
228,CR-ZBNF
229,kalabanda pacha ganneru dravanam
230,cattle shed lining
231,cow dung-cow urine -asafoetida cocnction
232,azolla
233,weedicide
234,Lactic acid bacteria
235,LAB
236,Nalleru-yerripuccha dravanam
237,DU dravanam
238,IMO
239,Vishamusti dravanam
241,dravajeevamrutham
242,saptha dhanyankura kashayam
244,egg stage
245,agnyasthram
246,Beejaraksha
248,5% neem solution
249,egg lemon solution
250,green chillies + Garlic extract
251,Green Chillies + Garlic Extract+Neem Leaves+Tobbacco decoction
252,water conservation
253,value addition
254,damage sysmptoms
255,bio control
256,OHN
257,prevent fruit drop
258,low cost farm implements
259,verrivepaku kashayam
260,ICT Tool
261,neem oil
262,Alasanda pindi dravanam
263,oseudomonas
264,vermi compost
265,organic compost
266,irrigation
267,jeevamrutham
268,oils as growth promoter
269,cow dung & turmeric extract
270,last larval stage
271,ucchi pulasa chekka dravanam
272,pachimirchi vellulli kashayam
273,avupedamuthram inguva dravanam
274,delta traps
275,vitex docoction
276,fungal infection
277,Pepper
278,Betel leaves
279,Colacasia(Chama)
280,Pearl Millet
281,Lilly
282,Leafy Vegetables
283,Mulberry
284,Gherkin(cucumber family)
285,Citrus
286,Kanakambaram
287,Jasmine
288,Palm oil
289,Flowers
290,Vegetables
291,Coffee
293,Mustard
294,Mari Gold
295,Oil palm
296,Chickpeas
297,Horse Gram
298,Onion
299,Tobacco
300,French beans
301,Pumpkin
302,Carrot
303,Sapota
304,Pomegranate
305,Papaya
306,Guava
307,Sugarcane
308,Sesame/Gingelly
309,Safflower
310,Foxtail millet
311,Potato
312,Bitter Gourd
313,Ridge Gourd
314,Snake Gourd
315,Bottle Gourd
316,Coccinia
317,Cluster beans
318,Radish
319,Cucumber
320,Jack fruit
321,Sweet Potato
322,Drumstick
323,Amaranthus
324,Chinese spinach
325,Spinach
326,Curry Leaves
327,Roselle
328,FenuGreek Leaves
329,Coriander
330,Ash gourd
331,Green Chilli
332,Colacasia
333,Plantain
334,Califlower(Gobipuvvu)
335,Cabage
336,Beetroot
337,Broad beans
338,Capsicum
339,Green Peas
340,Coconut
341,Mint Leaves
342,Goose Berry
343,Garlic
344,Soreel
345,Others
346,Orchards
347,Sun Flower
348,Sri paddy
349,Ragi
350,Jowar
351,Banana
352,Turmeric
353,Soya beans
354,Red gram
355,Ginger
356,Elephant Foot
357,Chillies
358,Castor
359,Bajra
360,Wheat
361,Mango
362,Green Gram
363,Cashew
364,Black Gram
365,Bengal Gram
366,Ground Nut
367,Beans
368,Yam(Kanda)
369,Maize(Corn)
370,Okra(Benda)
371,Tomato
372,Brinjal
373,Cotton
374,Paddy
375,seed borne diseases
376,ring spot
377,soil borne diseases
378,blotch mosaic
379,mite
380,melon fly
381,fruit fly
382,sucking pest
385,fruit borer
386,leaf blast
388,tikka leaf spot
389,bacterial leaf spot
390,black spots
392,harmful insects
393,beneficial insects
395,lady bird beetle
396,leaf folder
397,spodoptera
398,helicoverpa
400,leaf miner
401,hopperburn
402,upward curling
403,datura leaves
404,honeybee
405,leaf eating caterpiller
406,folding of leaves
407,leaf holes
408,leaf biting
409,thrips
410,soapnut
413,white ear
414,deadheart
415,stem rot
416,rootrot
417,drogon fly
418,earthworms